name	brand	desc	category	tags	price_value	price	link_url	img_url	reference
Electrolux吸塵器	伊萊克斯 (Electrolux)	這支的本體跟Q9是一樣的，還多了拖把吸頭，另一組有拖把水桶的也可以考慮  特價的時候會賣到9999，有看到的話請把握機會	居家	#居家 #吸塵器	11999	11999	https://www.costco.com.tw/Appliances/Vacuums-Floor-Care/Vacuums/Electrolux-Cordless-Wet-Dry-Vacuum-Cleaner-EFS71423/p/141934	https://www.costco.com.tw/mediapermalink/20231225-20240104_12	https://www.facebook.com/applepig/posts/pfbid02D83NeEVfii9EabqoN2S2yCLtaqpb2dBYNw3k5Fx9K2PzkUBBCZpoQw3k4KPKAFMPl
三菱重工冷氣	三菱重工 (Mitsubishi Heavy Industries)	其實Panasonic、日立也都可以買，但是我要稱讚一下三菱重工的遙控器排程功能超級優秀	居家	#居家 #網路設備		比較貴一點	https://24h.pchome.com.tw/store/DPAF4H	https://img.pchome.com.tw/cs/items/DPAF4HA900FMJD3/000001_1700034325.jpg	https://www.facebook.com/applepig/posts/pfbid0JE19pPeNYreLhhjToDt3qCFVGgVuu6h51HVxiHgwNL2rtZ8zBYs9DFzU1dDKhHXKl
Kolin 電暖器	歌林 (Kolin)	暖氣我是比較推陶瓷式的啦，體積小、比較便宜、不會亮、而且還有風扇強制對流，暖房效果比看起來的更好	居家	#居家 #電暖器	1180	1180	https://24h.pchome.com.tw/prod/DMAZ0F-A900H16LY	https://img.pchome.com.tw/cs/items/DMAZ0FA900H16LY/000001_1703236548.jpg	
Iris高階吸頂燈	愛麗思 (Iris Ohyama)	這顆是導光板的高階款，水平方向的擴散比較強，可以減少房間角落太暗的問題	居家	#居家 #吸頂燈	20000	￥20000	https://www.amazon.co.jp/dp/B09923R2X3	https://m.media-amazon.com/images/I/61VmU90A9-L._AC_SL1000_.jpg	https://www.facebook.com/applepig/posts/pfbid0qLvB8BELCJiUZrbXYL11uhKJWWUrEqtRK4zxx3JTjX2xjJwj4zK9rWhNvqLMesR3l
Toshiba高階吸頂燈	東芝 (Toshiba)	這顆是演色力比較強的高階款，可惜不是以前那個羅浮宮級的了	居家	#居家 #吸頂燈	30000	￥30000	https://www.amazon.co.jp/dp/B0C9LYBKD3	https://m.media-amazon.com/images/I/51l80QQ5itL._AC_SL1500_.jpg	https://www.facebook.com/applepig/posts/pfbid0qLvB8BELCJiUZrbXYL11uhKJWWUrEqtRK4zxx3JTjX2xjJwj4zK9rWhNvqLMesR3l
Iris吸頂燈（並）	愛麗思 (Iris Ohyama)	日規吸頂燈真的很棒，可以用遙控調光調色而且還快拆，睡前都不需要爬起來關燈	居家	#居家 #吸頂燈	2699	2699	https://www.costco.com.tw/Home-Improvement/Lighting/Lighting-Light-Bulbs/IRIS-OHYAMA-LED-Ceiling-Light-CL12DL-MFUCT/p/121629	https://www.costco.com.tw/medias/sys_master/images/he6/h87/100246339026974.webp	https://www.facebook.com/applepig/posts/pfbid02Ptwb3u65rJMSUAhhiHEXcFmNa2M84TFWtNLaWzEU5AhWHYWcbNweaB23HCxioSmdl
Blueair 3250空氣清淨機	Blueair	這台最近不知道為什麼賣到一台4400左右，有想要的話可以看看	居家	#居家 #空氣清淨機		一台4400	https://24h.pchome.com.tw/prod/DMAUE4-1900HSSKV	https://img.pchome.com.tw/cs/items/DMAUE4A900HS6J6/i010011_1725438230.jpg	
Panasonic V150MDH	國際牌 (Panasonic)	總之洗衣機都現看Panasonic，這是自動加洗衣精的洗脫烘中最便宜的	居家	#居家 #網路設備	41000	41000	https://24h.pchome.com.tw/prod/DPAI1H-A900FQ5GC	https://img.pchome.com.tw/cs/items/DPAI1HA900FQ5GC/000001_1702519023.jpg	
Lion Nanox洗衣精	獅王 (Lion)	今年Nanox One新版上市了，橘色的是標準款、紫色的強化殺菌、藍綠色的PRO全面強化，但是價錢都顯著的比去年貴	居家	#居家 #洗衣精	1099	1099	https://24h.pchome.com.tw/prod/DAAK2J-1900H333K?fq=/S/DAAK2J	https://img.pchome.com.tw/cs/items/DAAK2J1900H333K/000001_1733713845.jpg	https://www.facebook.com/applepig/posts/pfbid0FhDw2JMyJfPJ8pGNG5U8ujWYGevTxEnRNobThWiBFzp24riVpstAuTLP8An66rc9l
花王 Attack Zero	花王 (Kao)	Attack Zero的噴罐超級好用	居家	#居家	579	579	https://www.costco.com.tw/Household-Baby-Toys/Household-Essentials/Laundry-Care/Attack-ZERO-Laundry-Detergent-Drum-Type-400-g-Refill-2100-g/p/339031	https://www.costco.com.tw/medias/sys_master/images/h16/h10/275511669325854.webp	https://www.facebook.com/applepig/posts/pfbid02yPa7pBxFXc2igdCXHNDjU89jarHuG7Fhj6cFQfqsADJAtfxbxxW5E2NvH7fJjCoLl
Trusco 物流箱	中山 (Trusco)	從日本搬東西回來的好幫手，詳情請看下面參考資料	居家	#收納 #居家		￥1790	https://www.amazon.co.jp/dp/B002A5VPSO	https://m.media-amazon.com/images/I/51lnbg1qqCL._AC_.jpg	https://www.facebook.com/applepig/posts/pfbid0mPFP5y2HqLf9Ew39QFyMv6onqBUevdjA4wKsRUSz6NttNTxDEh2xNKGvUoJqoGrfl
Kohler FamilyCare浴櫃	科勒 (Kohler)	他們家的浴櫃組非常有趣，他的落水孔是在靠牆的地方，所以櫃子的抽屜可以做到2/3深度，中間也不會有奇怪的凹洞  不過水龍頭不要買他們家的，美規水管跟台灣習慣不同，出水量會比較小，還會害我被師傅罵（？	居家	#衛浴 #居家	20000	20000	https://shop.kohler.com.tw/family-care-60cm/	https://cdn11.bigcommerce.com/s-71ht0mylo2/images/stencil/1280x1280/products/288/841/a__99517.1698132192.jpg?c=1	https://www.youtube.com/watch?v=tJb53rtGS-Y
Kohler暖風機	科勒 (Kohler)	他們家的暖風機面板非常好看，而且無線遙控款才賣一萬出頭，你浴室有拉220V的話可以考慮	居家	#居家 #線材	10900	10900	https://shop.kohler.com.tw/30x30cm-1/	https://cdn11.bigcommerce.com/s-71ht0mylo2/images/stencil/1280x1280/products/731/2456/10623367_O__33401.1691461503.jpg?c=1	
TOTO恆溫水龍頭	東陶 (TOTO)	如果你家熱水器夠熱、但是洗澡的水溫不穩的話，通常裝上恆溫水龍頭就能得到有效的改善  而且他的把手一邊調溫度、另一邊調淋浴/龍頭，可以徹底杜絕調了水量溫度就變了的問題	居家	#恆溫 #衛浴 #居家		￥18000	https://www.amazon.co.jp/dp/B0BNHWCWB4	https://m.media-amazon.com/images/I/51xa1Xtqc3L._AC_SL1100_.jpg	
Lixil免治馬桶座	驪住 (Lixil)	TOTO的最近在amazon上價錢很亂，相較之下Lixil的比較合理	居家	#衛浴 #居家		￥42000	https://amzn.asia/d/2Bgf6KR	https://m.media-amazon.com/images/I/5114LY5TExL._AC_SL1172_.jpg	https://www.facebook.com/photo/?fbid=10225665699022514&set=a.4011662783214
Panasonic NP-TH4	國際牌 (Panasonic)	桌面型洗碗機只有這台可以買了（認真	廚房	#廚房 #網路設備	21000	21000	https://24h.pchome.com.tw/prod/DMBR1P-A900GT5EO	https://img.pchome.com.tw/cs/items/DMBR1PA900GT5EO/000001_1699497746.jpg	https://www.facebook.com/applepig/posts/pfbid02SjcyKSNfiwr9rFQheqiiqgyrpyu5Qi1DsP7sLFoXdGQ8b6CtxfMBVq2MwYuE81Jhl
Fisher&Paykel 抽屜式洗碗機	斐雪派克 (Fisher & Paykel)	其實Panasonic也有抽屜式，但是台灣沒有進，日規的又太深比較麻煩，所以可以優先考慮這台	廚房	#抽屜式 #廚房 #網路設備	45000	45000	https://24h.pchome.com.tw/prod/DMBR24-A900GK0BS	https://img.pchome.com.tw/cs/items/DMBR24A900GK0BS/000001_1703010353.jpg	https://www.facebook.com/applepig/posts/pfbid02SjcyKSNfiwr9rFQheqiiqgyrpyu5Qi1DsP7sLFoXdGQ8b6CtxfMBVq2MwYuE81Jhl
Panasonic NN-BS607	國際牌 (Panasonic)	別管什麼小烤箱了，直上水波爐吧	廚房	#廚房 #網路設備	12900	12900	https://24h.pchome.com.tw/prod/DMBJ02-A900HB5FS	https://img.pchome.com.tw/cs/items/DMBJ02A900HB5FS/000001_1710409790.jpg	
Sharp XP10T	夏普 (Sharp)	家裡如果有長輩怕微波爐的話，就直上XP10T，這台才有強調無微波調理功能（然後你還是可以自己拿他的微波功能來用	廚房	#廚房 #水波爐	29900	29900	https://24h.pchome.com.tw/prod/DMBJ02-1900I5KFC	https://img.pchome.com.tw/cs/items/DMBJ03A900FTXFP/000001_1670575743.jpg	https://www.facebook.com/applepig/posts/pfbid02voWvQVJp7FoCmJx3WbbENaNpKFf35jp6H4Ram3UqNxmTcCEYLUvZ23BgRnEdAAw7l
Toshiba YD5000	東芝 (Toshiba)	看得懂日文的話買水貨還是比較便宜，這台是次旗艦，而且amazon還免運費直接到你家	廚房	#廚房		￥100000	https://amzn.asia/d/45791oT	https://m.media-amazon.com/images/I/815FU9IOtcL._AC_SL1500_.jpg	
Panasonic SR-KT069	國際牌 (Panasonic)	四人份小電鍋唯一推薦	廚房	#廚房 #網路設備	5000	5000	https://24h.pchome.com.tw/prod/DMBI0H-A900AOX6V	https://img.pchome.com.tw/cs/items/DMBI0HA900AOX6V/000001_1687162992.jpg	https://www.facebook.com/applepig/posts/pfbid0qpSR2V4dzA2a1ciNswbcp3DcDTT43Aok39FL1yDxG4RcyoJceQr9G28WxMu95PNcl
象印NW-JW10	象印 (Zojirushi)	這台的賣點是煮飯快、要清洗的零件少，不過煮起來還是略輸本炭釜	廚房	#廚房		￥45000	https://www.amazon.co.jp/dp/B089M6CRXJ	https://m.media-amazon.com/images/I/61dGv0BJc2L._AC_SL1000_.jpg	
Brita	碧然德 (Brita)	Brita濾芯要注意一下特價，大概單價$166以下就可以買	廚房	#濾水 #廚房	2200	2200	https://24h.pchome.com.tw/prod/DEAY3A-A900GLY25	https://img.pchome.com.tw/cs/items/DEAY3AA900GLY25/000001_1703232993.jpg	https://www.facebook.com/applepig/posts/pfbid0XuCGpfNBnFb4TZN4QcTH2Zyh9U2rWqV2HonAm4DjS8YXtYoTQDqKBVL3QV3pesmBl
Arnest 永切れ王	安奈斯特 (Arnest)	刀刃開鋸齒型的三德，我覺得切起來超級順手的	廚房	#廚房 #刀具		￥3800	https://amzn.asia/d/isJwOlO	https://m.media-amazon.com/images/I/61fci0cf+zL._AC_SL1500_.jpg	
威寶40L烤箱	威寶 (Welhome)	這是要認真烤麵包用的烤箱，價格不是走親民路線的	廚房	#廚房 #線材	9000	9000	https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=11521511&fbclid=IwAR16a9uh8O9XNFHzk5BDybSfMkVZccfXvu-54vWPl8ZbC4aYLj9bkMI-NTQ	https://i1.momoshop.com.tw/1692546180/goodsimg/0011/521/511/11521511_R.webp	https://www.facebook.com/applepig/posts/pfbid0rU7gfAonS3fuEhbnHWh31XhoPaGAK1xF2HbwEeYFtFmDsuKm1Bw63znYUccsHve6l
Panasonic 日規冰箱	國際牌 (Panasonic)	日規六門冰箱比較好買的是Pana、Hitachi、三菱，規格其實很像，我覺得都可以買	廚房	#廚房 #網路設備	67000	67000	https://24h.pchome.com.tw/prod/DPAC74-A900BNXAJ	https://img.pchome.com.tw/cs/items/DPAC74A900BNXAJ/000001_1628842716.jpg	https://www.facebook.com/applepig/posts/pfbid02tsU6X2EFHExDnZrPXiyYkcu8WRHRDt1YuoPfY8pisDhG51FRWLsfFA9CwyQvRUUtl
Mitsubishi 冷凍櫃	三菱 (Mitsubishi)	只是需要稍微擴充冷凍庫的話可以買這台，他身高比較低，上面還可以擺電鍋或水波爐	廚房	#廚房 #水波爐	12000	12000	https://24h.pchome.com.tw/prod/DPAC34-A900H86CY	https://cs-a.ecimg.tw/items/DPAC3KA900B2TTL/000001_1676515813.jpg	https://www.facebook.com/1630614087/posts/pfbid02oKqtivtsPk5GdtoUW5WZciD43s3NJQRAsn8QG3j3CU8YpV8awbyMUrLXZ52yPiCQl/
Panasonic 冷凍櫃	國際牌 (Panasonic)	這台跟普通的冰箱差不多大，買的時候要注意一下要放哪	廚房	#廚房 #網路設備	19000	19000	https://24h.pchome.com.tw/prod/DPAC1T-A900ALMUG	https://img.pchome.com.tw/cs/items/DPAC1TA900ALMUG/000001_1619054781.jpg	https://www.facebook.com/1630614087/posts/pfbid02oKqtivtsPk5GdtoUW5WZciD43s3NJQRAsn8QG3j3CU8YpV8awbyMUrLXZ52yPiCQl/
大橋牌越光米	大橋牌	他們每年新米都會有這種8包1kg的禮盒，小包裝就比較不用怕米潮掉	食材	#食材 #米		125/kg	https://24h.pchome.com.tw/prod/DBBY0M-A900GMBY7	https://cs-a.ecimg.tw/items/DBBY0MA900GMBY7/000001_1693383527.jpg	https://www.facebook.com/applepig/posts/pfbid037AcHMyNMrZPFBvDg7GgQbquN8j2UNmPb1mvkM7YV9rJKuv8Us5BvASrcG8zzxRqjl
富里牛奶皇后	富里農會	牛奶皇后是最好吃的台灣米，不服來辯	食材	#食材 #米		200/kg	https://24h.pchome.com.tw/prod/DBBY0J-A900F81AW	https://img.pchome.com.tw/cs/items/DBBY0JA900F81AW/000001_1656130303.jpg	https://www.facebook.com/applepig/posts/pfbid037AcHMyNMrZPFBvDg7GgQbquN8j2UNmPb1mvkM7YV9rJKuv8Us5BvASrcG8zzxRqjl
日本米入門篇	Applepig	參考資料那篇也要看，主要是台灣米	食材	#食材 #米		150/kg	https://www.facebook.com/applepig/posts/pfbid0SxJNCFgExHegTJb9A6jPZNNUTSgNP1FW29oAnmHJheXQhi2NFWd34esgSkcAK64Dl	https://scontent.ftpe8-2.fna.fbcdn.net/v/t39.30808-6/285454481_10225222919953314_2760340429445359591_n.jpg	https://www.facebook.com/applepig/posts/pfbid08r2XCS2kfPtkUKa7DETQiayJyKgab8vg1C9fg4kMVSpi2nqPhYJTwcigdR7xVG3Ll
山田製油 胡麻辣油	山田製油	雖然叫辣油但是其實不辣，而是超級香的香油  我都是回日本的時候在百貨公司超市補貨，會比第一名店便宜很多	食材	#食材 #調味料		￥972	https://shop.firstsuper.com.tw/products/%E5%B1%B1%E7%94%B0%E8%83%A1%E9%BA%BB%E8%BE%A3%E6%B2%B9	https://shoplineimg.com/5d08366e3f64c1000128316b/63bf65758cd22b3421747f3e/2000x.webp?source_format=jpg	
旭ポンズ	旭食品	在黑門市場的時候被店員大姊推銷，從此一試成主顧的橘醋  大阪附近的話很好買，東京附近的話要找百貨公司超市或成城石井之類的	食材	#食材 #調味料		￥840	https://www.asahi-syokuhin.co.jp/product/ponzu	https://item-shopping.c.yimg.jp/i/n/sake-nishida_asp-1005_1	
